Current gen  
0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 
1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 
0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 
0 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 
1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 
0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 
0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 
0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
Next gen  
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 
0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 
0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 
0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 
0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 
